200903247,센타민플러스연질캡슐,장방형,갈색,,,,24.2,7.8,7.8,"연질캡슐제, 현탁상"
200903378,헤모퀸골드캡슐,장방형,갈색,갈색,,,18.58,6.69,6.69,"경질캡슐제, 산제"
200903392,제로민연질캡슐(디펜히드라민염산염),타원형,"청록, 투명",,,,13,9,9,"연질캡슐제, 액상"
200903395,비나코연질캡슐,장방형,"파랑, 투명",,,,25,8,8,"연질캡슐제, 액상"
200903409,리피다운캡슐120밀리그램(오르리스타트),장방형,파랑,파랑,,,18.5,6.2,6.2,"경질캡슐제, 과립제"
200903482,비오펜연질캡슐(덱시부프로펜),타원형,초록,,,,20.5,7.8,7.8,"연질캡슐제, 액상"
200903579,카이로정,장방형,하양,,,-,17.3,7.8,5.7,필름코팅정
200903580,덴탈에프정(옥수수불검화정량추출물),원형,주황,,,,11,11,4,당의정
200903585,마이에신캡슐(은교산),장방형,갈색,하양,,,21,8,8,"경질캡슐제, 산제"
200901403,미카몰정,장방형,하양,,,,17,8,4,필름코팅정
200901575,행심연질캡슐(은행엽건조엑스),타원형,초록,,,,14.23,8.25,8.35,"연질캡슐제, 현탁상"
200901619,알룬정,타원형,분홍,,,,14.5,8.55,5.5,필름코팅정
200901620,미니메이드정(수출용),타원형,분홍,,,,14.78,8.92,5.39,필름코팅정
200901818,리버플란연질캡슐,장방형,갈색,,,,25,9,8,"연질캡슐제, 현탁상"
200902147,에코닉신정(클로닉신리시네이트),원형,주황,,,,9,9,4,필름코팅정
200902192,토넥스포르테캡슐,장방형,빨강,빨강,,,21.7,7.0,7.5,"경질캡슐제, 산제"
200902207,헤파라이프연질캡슐350mg(밀크시슬열매건조엑스),장방형,갈색,,,,19.9,9.0,9.0,"연질캡슐제, 현탁상"
200902212,비타마인연질캡슐,장방형,초록,,,,24.4,8.5,8.5,"연질캡슐제, 현탁상"
200902301,그날엔정,원형,"하양, 빨강",하양,,,8.6,8.6,4.8,다층정
200902328,자베스카캡슐100밀리그램(미글루스타트),장방형,하양,하양,,,14.0,5.0,5.3,"경질캡슐제, 산제"
200902364,이프렌에스연질캡슐(덱시부프로펜),장방형,"청록, 투명",,,,20,8.3,8.3,"연질캡슐제, 액상"
200902452,맥스비타플러스정,타원형,주황,,,,18.2,10.8,8.3,필름코팅정
200902506,에델피스연질캡슐(디펜히드라민염산염),타원형,"청록, 투명",,,,12.8,8.5,8.5,"연질캡슐제, 액상"
200902577,제이에스콜드정,장방형,분홍,,,,23,8.5,5,필름코팅정
200902743,오메콜캡슐,장방형,파랑,하양,,,19.14,6.70,6.70,"경질캡슐제, 산제"
200902749,리드비타큐정,타원형,빨강,,,,18.2,10.8,8.3,필름코팅정
200902791,비타엔큐연질캡슐,장방형,갈색,,,,24.8,8.3,8.3,"연질캡슐제, 현탁상"
200902801,카페그린정,타원형,파랑,,,,11.28,6.5,4.62,필름코팅정
200902805,트리답티브정,장방형,하양,,,,19.99,9.02,8.35,
200902876,코프노캡슐,장방형,노랑,노랑,,,20,7,6,"경질캡슐제, 산제"
200902884,이젠이캡슐,장방형,파랑,파랑,,,22,7,7,"경질캡슐제, 산제"
200701086,스프라이셀정50밀리그램(다사티닙),타원형,하양,,,,11.0,5.9,3.0,필름코팅정
200403661,에너지톤연질캡슐,장방형,갈색,,,,21.8,7.4,7.4,"연질캡슐제, 현탁상"
200704968,토핀정25밀리그램(토피라메이트),원형,하양,,-,,6,6,2,필름코팅정
200202184,디스톤골드연질캡슐,장방형,갈색,,,,25.0,8.9,8.9,"연질캡슐제, 현탁상"
200202185,콘로친300연질캡슐,장방형,갈색,,,,25.1,9.0,9.0,"연질캡슐제, 현탁상"
200709387,케티맥스정100밀리그램(푸마르산쿠에티아핀),원형,노랑,,,,9,9,4,필름코팅정
200302360,헤모윈연질캡슐,장방형,갈색,,,,24,8,8,"연질캡슐제, 현탁상"
200102789,잔타놀정,장방형,하양,,,,13.6,7.7,5.1,필름코팅정
200402892,푸로콜에스캡슐,장방형,갈색,갈색,,,20.9,6.8,6.6,"경질캡슐제, 산제"
200101589,에코리자정,장방형,하양,,,-,15.60,9.11,6.20,필름코팅정
200101951,한신타미놀캅셀(아세트아미노펜),장방형,하양,하양,,,21.3,7.5,7.5,"경질캡슐제, 산제"
200201781,아스노캅셀,장방형,노랑,노랑,,,15.70,5.57,5.83,"경질캡슐제, 산제"
200705825,아토스타정10밀리그램(아토르바스타틴칼슘삼수화물),타원형,하양,,,,10.0,5.2,3.8,필름코팅정
200500735,비텐지연질캡슐,장방형,갈색,,,,,,,"연질캡슐제, 현탁상"
200600140,라시핀정(라시디핀),타원형,하양,,-,-,12.9,7.3,4.5,필름코팅정
200607723,포스펜정,장방형,하양,,-,,17.95,8.26,6.00,나정
200612598,보령세파클러캡슐(세파클러수화물),장방형,파랑,하양,,,19,6.5,6.5,"경질캡슐제, 산제"
200806047,리피다운캡슐60밀리그램(오르리스타트),장방형,파랑,파랑,,,17.6,5.8,5.8,"경질캡슐제, 과립제"
200808168,아지탑스정250밀리그램(아지트로마이신수화물),타원형,하양,,,,13.8,7,5.5,필름코팅정
200808280,수마트란정50밀리그램(수마트립탄숙신산염),장방형,분홍,,,,12.1,6.6,4.0,필름코팅정
200808340,바로디핀정5밀리그램(암로디핀베실산염),팔각형,하양,,-,,8.7,6.2,3.8,나정
200808561,아네페질속붕정(도네페질염산염일수화물),원형,하양,,,,10,10,3.5,구강붕해정
200808653,사르반정80밀리그램(발사르탄),원형,분홍,,-,,8.2,8.2,3.5,필름코팅정
200808753,레보텍캡슐(레보드로프로피진),장방형,갈색,노랑,,,17.2,6.1,6.0,"경질캡슐제, 산제"
200903697,로비텐연질캡슐,타원형,갈색,,,,24,9,9,"연질캡슐제, 현탁상"
200903698,맥스콜연질캡슐,장방형,빨강,,,,20,8,8,"연질캡슐제, 현탁상"
200903727,속콜파워연질캡슐(수출용),장방형,"주황, 투명",,,,20,9.5,9.5,"연질캡슐제, 액상"
200903737,쿨드림연질캡슐(디펜히드라민염산염),타원형,"청록, 투명",,,,13.0,8.1,8.1,"연질캡슐제, 액상"
200903776,긴코센정120밀리그램(은행엽건조엑스),원형,초록,,,,10,10,4,필름코팅정
200903782,칼루타미정150밀리그램(비칼루타미드),원형,하양,,,,10,10,5,필름코팅정
200903829,씨탈정(에스시탈로프람옥살산염),타원형,하양,,-,,8,5.6,3.5,필름코팅정
200903830,미가드정2.5밀리그램(프로바트립탄숙신산염일수화물),원형,하양,,,,7.2,7.2,3.5,필름코팅정
200903837,마이녹실에스캡슐,장방형,빨강,노랑,,,18.4,6.4,6.6,"경질캡슐제, 산제"
200903842,비알칸다플러스정,장방형,분홍,,-,-,9.6,4.5,3.0,나정
200903850,변락소정,원형,노랑,,,,7,7,2,장용성필름코팅정
200903851,콜리브정,장방형,하양,,,,17,8,5.5,필름코팅정
200903876,지르세틴정10밀리그램(세티리진염산염),타원형,노랑,,-,,12.5,6.8,4.0,필름코팅정
200903912,디펜에이정,장방형,주황,,,-,18.8,9.2,5.08,필름코팅정
200903964,로큅정0.25밀리그램(로피니롤염산염),오각형,하양,,,,8.1,8.1,3.8,필름코팅정
200903969,칼인비연질캡슐,장방형,초록,,,,25.0,9.0,9.0,"연질캡슐제, 현탁상"
200903974,칸데모어정16밀리그램(칸데사르탄실렉세틸),원형,분홍,,-,,7,7,3.1,나정
200903986,코큐모아연질캡슐,장방형,갈색,,,,24.3,8.3,8.3,"연질캡슐제, 현탁상"
200903987,칼본큐포르테플러스 연질캡슐,장방형,갈색,,,,25.2,8.9,8.9,"연질캡슐제, 현탁상"
200903993,로큅정1밀리그램(로피니롤염산염),오각형,연두,,,,8.1,8.1,4.0,필름코팅정
200904003,덴타칸캡슐,장방형,파랑,파랑,,,18.95,6.37,6.70,"경질캡슐제, 산제"
200904019,바로자미연질캡슐(디펜히드라민염산염),타원형,"청록, 투명",,,,12.4,8.6,8.6,"연질캡슐제, 액상"
200904073,알벤프리졸정(알벤다졸),장방형,주황,,,,14.64,8.46,6.50,필름코팅정
200904082,로노펜300연질캡슐(덱시부프로펜),타원형,"초록, 투명",,,,20.5,8.5,8.5,"연질캡슐제, 액상"
200904122,이모돌정(옥수수불검화정량추출물),장방형,주황,,,,11.6,5.7,3.5,필름코팅정
200904162,칸데플러스정,장방형,주황,,,,8.65,3.6,1.1,나정
200905961,프릴리지정60밀리그램(다폭세틴염산염),원형,회색,,,,8.6,8.6,3.6,필름코팅정
200906066,프로코라란정5밀리그램(이바브라딘염산염),타원형,주황,,,,8.6,4.5,3.2,필름코팅정
200906065,프로코라란정7.5밀리그램(이바브라딘염산염),삼각형,주황,,,,7,5,3.1,필름코팅정
200906578,뉴피오정(피오글리타존염산염),원형,하양,,,,7.0,7.0,2.8,나정
200905935,칸다이플러스정,타원형,주황,,-,-,9.7,4.6,3.3,나정
200906062,페이론캡슐(아미노벤조산칼륨),장방형,하양,하양,,,23.4,6.75,7.19,"경질캡슐제, 산제"
200905938,레복사신정250밀리그램(레보플록사신수화물),장방형,분홍,,,,15.19,6.34,3.65,필름코팅정
200906061,피륵산정200밀리그램(부플로메딜인산피리독살),장방형,노랑,,-,,13.6,7.0,4.0,필름코팅정
200905692,클라리틴정(로라타딘),타원형,하양,,-,,7.6,5.0,2.65,나정
200905939,"세자르플러스프로정(로사르탄칼륨,히드로클로로티아지드)",타원형,하양,,,-,13.6,7.8,4.6,필름코팅정
200905876,칸데사플러스정,장방형,주황,,-,-,10.0,5.0,2.5,나정
200905929,애드릴정5밀리그램(이미다프릴염산염),원형,하양,,,,5,5,2,나정
200905644,베리콜 콜드 캡슐,장방형,빨강,빨강,,,19.10,6.63,6.91,"캡슐, 미분류"
200906079,에피스캡슐,장방형,빨강,빨강,,,21.4,7.33,7.64,"경질캡슐제, 산제"
200906023,키드업정,타원형,분홍,,,,16.2,8.7,6.2,
200905591,판토마그정,장방형,하양,,,,16,7.5,4,필름코팅정
200906073,트랜미정,원형,하양,,,,10,10,3,필름코팅정
200905776,써큐징코연질캡슐(수출용),타원형,갈색,,,,15.25,8.25,9.10,"연질캡슐제, 현탁상"
200905600,로페란캡슐,장방형,노랑,하양,,,19.2,6.4,7,"경질캡슐제, 산제"
200905651,이모나에프캡슐(수출용),장방형,파랑,파랑,,,19,6,7,"경질캡슐제, 산제"
200905675,큐크린정,원형,노랑,,,,7.0,7.0,0.6,장용성필름코팅정
200905551,콘탑정,장방형,갈색,,,,17.9,8.3,5.9,필름코팅정
200905597,덱시쿨펜연질캡슐(덱시부프로펜),타원형,"분홍, 투명",,,,13,9,10,"연질캡슐제, 액상"
200905601,메디큐텐정,장방형,갈색,,,,19.5,8.5,6,필름코팅정
200905926,러지펜정,원형,노랑,,,,8.0,8.0,5.0,필름코팅정
200905479,비타모니에이스연질캡슐,장방형,갈색,,,,24.3,8.2,8.2,"연질캡슐제, 현탁상"
200905514,비타올큐연질캡슐,장방형,갈색,,,,24.6,8.3,8.56,"연질캡슐제, 현탁상"
200905586,쎌크비타연질캡슐(수출용),장방형,자주,,,,24,9,8,"연질캡슐제, 현탁상"
200905472,덱시카이플러스연질캡슐(덱시부프로펜),타원형,"초록, 투명",,,,20.63,8.51,8.31,"연질캡슐제, 액상"
200905927,메타러정,장방형,하양,,,,17.5,7.1,6.8,나정
200905562,토코네슘연질캡슐,장방형,갈색,,,,24.0,8.7,8.7,"연질캡슐제, 현탁상"
200905653,알지엔스피드연질캡슐10밀리그램(세티리진염산염),타원형,"보라, 투명",,,,12.9,7.7,7.7,"연질캡슐제, 액상"
200906592,아스몬츄정5밀리그램(몬테루카스트나트륨),원형,분홍,,,,9.57,9.57,4.39,추어블정(저작정)
200906608,산도스프라미펙솔정0.25밀리그램(프라미펙솔염산염),타원형,하양,,-,-,15,10,5,나정
200906613,에스케이코스카플러스프로정,타원형,하양,,,,13.5,7.7,4.9,필름코팅정
200906602,원살탄플러스프로정,타원형,하양,,,,13.6,7.7,4.7,필름코팅정
200906611,산도스프라미펙솔정1밀리그램(프라미펙솔염산염),원형,하양,,-,-,9,9,3,나정
200906599,라파뮨정2밀리그램(시롤리무스),삼각형,노랑,,,,10,10,4,당의정
200906610,산도스프라미펙솔정0.5밀리그램(프라미펙솔염산염),타원형,하양,,-,-,25,20,5,나정
200906585,레보세린정(레보세티리진염산염),타원형,하양,,,,8.1,4.6,3.4,필름코팅정
200906588,아스몬츄정4밀리그램(몬테루카스트나트륨),타원형,분홍,,,,10.99,8.01,3.72,추어블정(저작정)
200906557,리비알정(티볼론),원형,하양,,,,6.0,6.0,2.7,나정
200906593,제니낙스정200밀리그램(가레녹사신메실산염수화물),팔각형,주황,,,,11.77,7.07,4.63,필름코팅정
200906609,산도스프라미펙솔정0.125밀리그램(프라미펙솔염산염),원형,하양,,,,8,8,3,나정
200906584,일양로자탄플러스프로정,타원형,하양,,,,13.8,7.8,4.8,필름코팅정
200906540,로나센정2밀리그램(블로난세린)/ 로나센정4밀리그램(블로난세린),원형,하양,,,,5,5,2.7,나정
200906528,로핀플러스프로정,타원형,하양,,,-,14,8,4.5,필름코팅정
200906531,로펜정(방풍통성산건조엑스(4.6→1)),기타,주황,,,-,12,6,3,필름코팅정
200906473,훼리너프에프캡슐,장방형,갈색,갈색,,,20.9,6.63,6.91,"경질캡슐제, 산제"
200906384,케라민캡슐,장방형,노랑,노랑,,,19.1,6.8,6.9,"경질캡슐제, 산제"
200906497,씨렉신캡슐(은교산건조엑스 8.16→1),장방형,주황,노랑,,,21.1,7.5,7.5,"경질캡슐제, 산제"
200906462,솔라제정(프로나제B),원형,하양,,,,7,7,4.2,장용성필름코팅정
200906274,에피니틴캡슐,장방형,빨강,빨강,,,21.40,7.33,7.64,"경질캡슐제, 산제"
200906105,모아리버골드연질캡슐,장방형,갈색,,,,24.0,8.45,8.45,"연질캡슐제, 현탁상"
200906301,덴탑플러스캡슐,장방형,빨강,빨강,,,21.39,7.15,7.53,"경질캡슐제, 산제"
200906254,알러샷연질캡슐(세티리진염산염),타원형,"보라, 투명",,,,12.50,7.58,7.58,"연질캡슐제, 액상"
200906719,쎄로켈서방정150밀리그램(쿠에티아핀푸마르산염),장방형,하양,,,,17.0,6.5,5.0,서방성필름코팅정
200906794,씨렉신정(은교산연조엑스 4.08→1),장방형,연두,,,,18.3,8.3,6.7,필름코팅정
200906642,더마화이트정,원형,하양,,,,10,10,5,필름코팅정
200907189,클라빅신정(클로피도그렐황산수소염),원형,분홍,,,,8.7,8.7,4.1,필름코팅정
200907170,제이더블유신약로잘탄플러스프로정,타원형,하양,,,,13.6,7.7,4.7,필름코팅정
200906974,산도스에스시탈로프람정10밀리그램(에스시탈로프람옥살산염),타원형,하양,,-,,8,6,3.5,필름코팅정
200904481,베어비타정,타원형,노랑,,,,18.7,8.5,7.0,필름코팅정
200907385,에키나포스프로텍트정,원형,노랑,,,,12.11,12.11,5.95,나정
200907381,쎌크존 연질캡슐,장방형,초록,,,,21.5,7.3,7.3,"연질캡슐제, 현탁상"
200904492,바이라민골드플러스정,타원형,노랑,,,,18.70,8.48,7.14,필름코팅정
200907669,리노반10캡슐(시부트라민말레산염),장방형,파랑,노랑,,,17.58,6.19,6.19,"경질캡슐제, 산제"
200907725,비스칸엔캡슐(바실루스리케니포르미스균),장방형,하양,하양,,,19.36,6.95,6.95,"경질캡슐제, 산제"
200907722,화이트프로젝트정,원형,하양,,,,9.5,9.5,5.5,필름코팅정
200904403,젠스큐민 연질캡슐,장방형,갈색,,,,22.4,7.4,7.4,"연질캡슐제, 현탁상"
200907771,도파로핀정1밀리그램(로피니롤염산염),오각형,파랑,,,,7.54,7.5,4.5,필름코팅정
200904163,칸단테플러스정16/12.5mg,타원형,주황,,-,-,9,4,3,나정
200904164,메토신필름코팅정,장방형,하양,,,,17.4,7.9,6.4,필름코팅정
200904168,헵타바캡슐,장방형,빨강,빨강,,,21.4,7.6,7.6,"캡슐, 미분류"
200904234,아나탄플러스정,장방형,분홍,,,,9.5,4.5,4.4,나정
200904235,칸세틸플러스정,장방형,분홍,,-,-,9.5,4.5,3.1,나정
200904236,칸자탄플러스정,타원형,분홍,,,-,9.55,4.52,3.14,나정
200904630,원스에어정10밀리그램(몬테루카스트나트륨),사각형,주황,,,,8.17,8.17,3.8,필름코팅정
200904514,발사벨정40밀리그램(발사르탄),타원형,노랑,,-,,9.2,3.6,2,필름코팅정
200904344,"고려칸데사르탄플러스정(칸데사르탄실렉세틸,히드로클로로티아지드)",장방형,주황,,,-,10,4,2,나정
200904536,아피니토정5밀리그램(에베로리무스),장방형,하양,,,,12,4.5,4,나정
200904343,카바딜플러스정16/12.5mg,타원형,주황,,-,-,9.6,4.5,3.0,나정
200904307,버퍼린플러스정,원형,하양,,,,10.7,10.7,5.5,필름코팅정
200904308,맥스타제-에스정,장방형,하양,,,,13.5,4.5,6.8,필름코팅정
200904391,핑크프로캡슐,장방형,빨강,노랑,,,19.02,6.97,6.97,"경질캡슐제, 산제"
200904390,콜디콜캡슐,장방형,노랑,노랑,,,19,6,7,"경질캡슐제, 과립제"
200904372,리세바플러스연질캡슐,타원형,갈색,,,,23,8,8,"연질캡슐제, 현탁상"
200904406,아이텐연질캡슐,타원형,검정,,,,15,9,9,"연질캡슐제, 현탁상"
200904404,헤모웰 연질캡슐,타원형,갈색,,,,15.1,8.3,8.3,"연질캡슐제, 현탁상"
200904417,지메톨연질캡슐(옥수수불검화정량추출물),타원형,주황,,,,15.81,8.33,8.33,"연질캡슐제, 현탁상"
200904441,프로펜디연질캡슐(덱시부프로펜),장방형,"노랑, 투명",,,,21,8,8,"연질캡슐제, 액상"
200904460,실리세프연질캡슐350밀리그램(밀크시슬열매건조엑스),장방형,갈색,,,,21,9,9,"연질캡슐제, 현탁상"
200904477,베어타민정,장방형,분홍,,,,19.5,8.6,5.9,필름코팅정
200904507,다이락스-큐정,원형,연두,,,,7.7,7.7,3.2,장용정
200904517,하이점프츄어블정,삼각형,분홍,,,,12.3,12.3,5.3,추어블정(저작정)
200904516,쥬르택정(세티리진염산염),장방형,하양,,,-,9.2,4.4,2.9,필름코팅정
200904538,다비움정,장방형,분홍,,-,-,15.18,8.28,5.31,필름코팅정
200904547,헵타마인플러스연질캡슐,타원형,갈색,,,,24,7.45,7.45,"연질캡슐제, 현탁상"
200904560,폴리아린캡슐,장방형,노랑,"노랑, 옅은",,,19.10,6.63,6.91,"경질캡슐제, 산제"
200904583,마이덴트파워캡슐,장방형,파랑,"파랑, 진한",,,18.5,6.2,6.6,"캡슐, 미분류"
200904590,토마스연질캡슐,장방형,갈색,,,,23.6,8.6,8.6,"연질캡슐제, 현탁상"
200904622,셀레토코플러스연질캡슐,장방형,갈색,,,,24.3,9.3,9.3,
200904652,덱스모아연질캡슐(덱시부프로펜),타원형,"초록, 투명",,,,19.4,8.8,8.8,"연질캡슐제, 액상"
200904644,콘트라스300연질캡슐,타원형,갈색,,,,24.4,8.3,8.3,"연질캡슐제, 현탁상"
200904655,리버큐연질캡슐(밀크시슬열매건조엑스),장방형,초록,,,,21,8,9,"연질캡슐제, 현탁상"
200904666,아르텍연질캡슐10mg(세티리진염산염),타원형,"보라, 투명",,,,12.73,7.79,7.79,"연질캡슐제, 액상"
200904349,타미린서방정8밀리그램(갈란타민브롬화수소산염),원형,하양,,,,6.5,6.5,3.3,서방성필름코팅정
200904340,타미린서방정16밀리그램(갈란타민브롬화수소산염),원형,분홍,,,,8.5,8.5,4.1,서방성필름코팅정
200904275,타진서방정 10/5mg,장방형,하양,,,,9.5,4.5,3.0,서방성필름코팅정
200904276,타진서방정 20/10mg,장방형,분홍,,,,9.5,4.5,3.3,서방성필름코팅정
200904420,박사르정4밀리그램(라시디핀),타원형,하양,,-,-,12.73,7.15,4.18,필름코팅정
200904419,박사르정2밀리그램(라시디핀),원형,하양,,,,9.6,9.6,4.3,필름코팅정
200904346,로킨스정1밀리그램(로피니롤염산염),오각형,연두,,,,7.4,3.9,3.9,필름코팅정
200904629,도파프로정0.25밀리그램(로피니롤염산염),오각형,하양,,,,8,5,4.5,필름코팅정
200904345,로킨스정0.25밀리그램(로피니롤염산염),오각형,하양,,,,7.4,3.9,3.9,필름코팅정
200904585,도파프로정1.0밀리그램(로피니롤염산염),오각형,연두,,,,8,5,4.5,필름코팅정
200904640,뉴큅정1밀리그램(로피니롤염산염),오각형,연두,,,,7.5,7.5,3.9,필름코팅정
200904641,뉴큅정0.25밀리그램(로피니롤염산염),오각형,하양,,,,7.5,7.5,3.9,필름코팅정
200904422,아스몬정10밀리그램(몬테루카스트나트륨),사각형,주황,,,,8.03,8.03,3.71,필름코팅정
200904535,아피니토정10밀리그램(에베로리무스),장방형,하양,,,,15,6,5,나정
200904445,페브릭정80밀리그램(페북소스타트),장방형,노랑,,,-,17.19,6.17,5.05,필름코팅정
200904359,칸탄플러스정,장방형,주황,,-,-,9,5,2,나정
200905216,파키놀정0.25밀리그램(로피니롤염산염),오각형,하양,,,,7.5,5,3.3,필름코팅정
200904890,카데탄플라스정,장방형,분홍,,-,-,9.5,4.6,3.2,나정
