No,DUR유형,단일/복합,DUR성분코드,DUR성분,복합일경우이것과먹으면문제,병용금기단일/복합,병용금기DUR성분코드,병용금기dur성분,병용금기복합제,금기내용
103,병용금기,단일,D000202,디히드로에르고타민,,단일,D000256,에리트로마이신,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
104,병용금기,단일,D000202,디히드로에르고타민,,단일,D000763,인디나빌,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
105,병용금기,단일,D000202,디히드로에르고타민,,단일,D000762,이트라코나졸,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
106,병용금기,단일,D000202,디히드로에르고타민,,단일,D000003,넬피나비어,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
107,병용금기,단일,D000202,디히드로에르고타민,,단일,D000712,리토나비르,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
108,병용금기,단일,D000202,디히드로에르고타민,,단일,D000443,보리코나졸,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
109,병용금기,단일,D000202,디히드로에르고타민,,단일,D000171,졸미트립탄,,"상가적인 혈관수축반응, 현저한 혈압상승"
110,병용금기,단일,D000501,독세핀,,단일,D000429,모클로베미드,,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
111,병용금기,단일,D000501,독세핀,,단일,D000139,셀레길린염산염,,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
112,병용금기,단일,D000558,에파비렌즈,,단일,D000007,미다졸람,,과도한 진정작용
113,병용금기,단일,D000558,에파비렌즈,,단일,D000443,보리코나졸,,"현저하게 voriconazole 혈장농도 감소, efavirenz 혈장농도 증가"
114,병용금기,단일,D000747,에르고타민,,단일,D000763,인디나빌,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
115,병용금기,단일,D000747,에르고타민,,단일,D000762,이트라코나졸,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
116,병용금기,단일,D000747,에르고타민,,단일,D000003,넬피나비어,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
117,병용금기,단일,D000747,에르고타민,,단일,D000712,리토나비르,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
118,병용금기,단일,D000747,에르고타민,,단일,D000443,보리코나졸,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
119,병용금기,단일,D000516,플루옥세틴,,단일,D000429,모클로베미드,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
120,병용금기,단일,D000800,플루복사민,,단일,D000429,모클로베미드,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
121,병용금기,단일,D000800,플루복사민,,단일,D000139,셀레길린염산염,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
122,병용금기,단일,D000800,플루복사민,,단일,D000187,티자니딘,,"장기화된 저혈압, 졸음, 현기증 및 정신운동능력 감소"
123,병용금기,단일,D000362,이미프라민,,단일,D000429,모클로베미드,,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
124,병용금기,단일,D000362,이미프라민,,단일,D000139,셀레길린염산염,,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
125,병용금기,단일,D000763,인디나빌,,단일,D000007,미다졸람,,과도한 진정작용
126,병용금기,단일,D000763,인디나빌,,단일,D000314,리팜피신,,혈중농도 저하로 항레트로바이러스 약물효과 감소
127,병용금기,단일,D000760,이오비트리돌,,단일,D000718,메트포르민,,기능적 신부전에 의해 유산 산성증 촉진
128,병용금기,단일,D000669,이오헥솔,,단일,D000718,메트포르민,,기능적 신부전에 의해 유산 산성증 촉진
129,병용금기,단일,D000364,이오메프롤,,단일,D000718,메트포르민,,기능적 신부전에 의해 유산 산성증 촉진
130,병용금기,단일,D000761,이오프로마이드,,단일,D000718,메트포르민,,기능적 신부전에 의해 유산 산성증 촉진
131,병용금기,단일,D000572,이소소르비드,,단일,D000246,실데나필,,혈관확장작용 증가로 저혈압 효과 상승
132,병용금기,단일,D000762,이트라코나졸,,단일,D000228,메틸에르고메트린,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
133,병용금기,단일,D000228,메틸에르고메트린,,단일,D000003,넬피나비어,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
134,병용금기,단일,D000228,메틸에르고메트린,,단일,D000712,리토나비르,,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가"
135,병용금기,단일,D000228,메틸에르고메트린,,단일,D000650,수마트립탄,,"상가적인 혈관수축반응, 현저한 혈압상승"
136,병용금기,단일,D000228,메틸에르고메트린,,단일,D000171,졸미트립탄,,"상가적인 혈관수축반응, 현저한 혈압상승"
137,병용금기,단일,D000229,메틸페니데이트,,단일,D000429,모클로베미드,,고혈압성 위기(현저한 혈압상승)
138,병용금기,단일,D000229,메틸페니데이트,,단일,D000139,셀레길린염산염,,고혈압성 위기(현저한 혈압상승)
139,병용금기,단일,D000323,미르타자핀,,단일,D000429,모클로베미드,,"구역, 구토, 안면홍조, 어지러움, 진전, 산동, 강직, 발한, 고온증, 심장지표의 빠른 변화와 함께 자율신경계의 불안정, 정신상태의 변화"
140,병용금기,단일,D000429,모클로베미드,,단일,D000466,노르트립틸린,,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
141,병용금기,단일,D000429,모클로베미드,,단일,D000353,파록세틴,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
142,병용금기,단일,D000429,모클로베미드,,단일,D000700,페티딘,,"아편계 약물의 효과 증강. 혼수, 중증의 호흡 억제"
143,병용금기,단일,D000429,모클로베미드,,단일,D000336,설트랄린,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
144,병용금기,단일,D000429,모클로베미드,,단일,D000638,벤라팍신,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
145,병용금기,단일,D000530,몰시도민,,단일,D000246,실데나필,,혈압강하작용 증강
146,병용금기,단일,D000287,나라트립탄,,단일,D000650,수마트립탄,,"상가적인 혈관수축반응, 현저한 혈압상승"
147,병용금기,단일,D000287,나라트립탄,,단일,D000171,졸미트립탄,,"상가적인 혈관수축반응, 현저한 혈압상승"
148,병용금기,단일,D000003,넬피나비어,,단일,D000314,리팜피신,,혈중농도 저하로 항레트로바이러스 약물효과 감소
149,병용금기,단일,D000498,니코란딜,,단일,D000246,실데나필,,혈관확장작용 증가로 저혈압 효과 상승
150,병용금기,단일,D000466,노르트립틸린,,단일,D000139,셀레길린염산염,,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
151,병용금기,단일,D000700,페티딘,,단일,D000139,셀레길린염산염,,"아편계 약물의 효과 증강. 혼수, 중증의 호흡 억제"
152,병용금기,단일,D000213,피모지드,,단일,D000712,리토나비르,,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가"
153,병용금기,단일,D000213,피모지드,,단일,D000443,보리코나졸,,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가"
154,병용금기,단일,D000314,리팜피신,,단일,D000443,보리코나졸,,혈중농도가 저하되어 보리코나졸의 약물효과 감소
155,병용금기,단일,D000139,셀레길린염산염,,단일,D000638,벤라팍신,,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)"
156,병용금기,단일,D000650,수마트립탄,,단일,D000171,졸미트립탄,,"상가적인 혈관수축반응, 현저한 혈압상승"
157,병용금기,단일,D000274,케토롤락,,단일,D000031,아세메타신,,중증의 위장관계 이상반응
158,병용금기,단일,D000274,케토롤락,,단일,D000452,아스피린,,중증의 위장관계 이상반응
159,병용금기,단일,D000274,케토롤락,,단일,D000675,클로닉신,,중증의 위장관계 이상반응
160,병용금기,단일,D000274,케토롤락,,단일,D000298,디플루니살,,중증의 위장관계 이상반응
161,병용금기,단일,D000274,케토롤락,,단일,D000363,이부프로펜,,중증의 위장관계 이상반응
162,병용금기,단일,D000274,케토롤락,,단일,D000575,인도메타신,,중증의 위장관계 이상반응
163,병용금기,단일,D000274,케토롤락,,단일,D000672,케토프로펜,,중증의 위장관계 이상반응
164,병용금기,단일,D000274,케토롤락,,단일,D000115,로녹시캄,,중증의 위장관계 이상반응
165,병용금기,단일,D000274,케토롤락,,단일,D000083,니메술리드,,중증의 위장관계 이상반응
166,병용금기,단일,D000274,케토롤락,,단일,D000262,옥사프로진,,중증의 위장관계 이상반응
167,병용금기,단일,D000274,케토롤락,,단일,D000309,피록시캄,,중증의 위장관계 이상반응
168,병용금기,단일,D000274,케토롤락,,단일,D000544,살살레이트,,중증의 위장관계 이상반응
169,병용금기,단일,D000274,케토롤락,,단일,D000644,설린닥,,중증의 위장관계 이상반응
170,병용금기,단일,D000343,아만타딘,,단일,D000238,브롬페리돌,,항콜린작용 증가
171,병용금기,단일,D000343,아만타딘,,단일,D000584,클로르프로마진,,항콜린작용 증가
172,병용금기,단일,D000343,아만타딘,,단일,D000781,페르페나진,,amantadine의 효과 저해
173,병용금기,단일,D000144,아나스트로졸,,단일,D000664,에스트로겐,,anastrozole의 약리작용 감소
174,병용금기,단일,D000144,아나스트로졸,,단일,D000679,타목시펜,,anastrozole의 혈장농도 감소
175,병용금기,단일,D000238,브롬페리돌,,단일,D000541,브로모크립틴,,"지발성 운동장애 촉진, bromocryptine의 작용감약"
176,병용금기,단일,D000238,브롬페리돌,,단일,D000560,에피네프린,,혈압강하
177,병용금기,단일,D000540,부스피론,,단일,D000429,모클로베미드,,혈압상승
178,병용금기,단일,D000584,클로르프로마진,,단일,D000560,에피네프린,,혈압강하
179,병용금기,단일,D000276,클로르프로틱센,,단일,D000560,에피네프린,,혈압강하
180,병용금기,단일,D000332,시탈로프람,,단일,D000213,피모지드,,QT간격 연장
181,병용금기,단일,D000477,클렌부테롤,,단일,D000560,에피네프린,,부정맥 또는 심정지
182,병용금기,단일,D000334,사이클로스포린,,단일,D000279,타크로리무스,,신독성 증가
183,병용금기,단일,D000155,에페드린,,단일,D000429,모클로베미드,,"고혈압, 빈맥 유발"
184,병용금기,단일,D000155,에페드린,,단일,D000560,에피네프린,,부정맥 또는 심정지 유도
185,병용금기,단일,D000155,에페드린,,단일,D000139,셀레길린염산염,,"고혈압, 빈맥 유발"
186,병용금기,단일,D000070,페노테롤,,단일,D000560,에피네프린,,부정맥 또는 심정지 유도
187,병용금기,단일,D000212,플레카이니드아세테이트,,단일,D000719,미졸라스틴,,심실성부정맥
188,병용금기,단일,D000267,이오파미돌,,단일,D000718,메트포르민,,급성신부전
189,병용금기,단일,D000165,이오베르솔,,단일,D000718,메트포르민,,급성신부전
190,병용금기,단일,D000268,이옥사글린산,,단일,D000718,메트포르민,,급성신부전
191,병용금기,단일,D000759,이소프로테레놀,,단일,D000560,에피네프린,,부정맥 또는 심정지 유도
192,병용금기,단일,D000758,이소트레티노인,,단일,D000488,트레티노인,,비타민A 과잉증
193,병용금기,단일,D000769,케토코나졸,,단일,D000265,이소니아지드,,효소유도로 인한 ketoconazole의 혈중농도 저하
194,병용금기,단일,D000769,케토코나졸,,단일,D000314,리팜피신,,효소유도로 인한 ketoconazole의 혈중농도 저하
195,병용금기,단일,D000274,케토롤락,,단일,D000696,덱스케토프로펜,,"상가적인 위장관 궤양, 출혈의 위험"
196,병용금기,단일,D000274,케토롤락,,단일,D000525,록소프로펜,,"상가적인 위장관 궤양, 출혈의 위험"
197,병용금기,단일,D000274,케토롤락,,단일,D000703,프라노프로펜,,"상가적인 위장관 궤양, 출혈의 위험"
198,병용금기,단일,D000274,케토롤락,,단일,D000766,잘토프로펜,,"상가적인 위장관 궤양, 출혈의 위험"
199,병용금기,단일,D000320,멜팔란,,단일,D000783,날리딕스산,,출혈성 궤양대장염과 장괴사
200,병용금기,단일,D000120,메나테트레논,,단일,D000567,와파린,,warfarin의 항응고효과 감소
201,병용금기,단일,D000719,미졸라스틴,,단일,D000426,메트로니다졸,,mizolastine의 혈중농도 상승
202,병용금기,단일,D000429,모클로베미드,,단일,D000200,덱스트로메토르판,,"경련, 반사항진, 이상고열, 혼수 등"
203,병용금기,단일,D000429,모클로베미드,,단일,D000006,모르핀,,"경련, 반사항진, 이상고열, 혼수 등"
204,병용금기,단일,D000429,모클로베미드,,단일,D000773,트라마돌,,"세로토닌 작용에 의한 증후군(중추흥분, 설사, 빈맥, 땀, 진전, 혼동, 혼수 등) 야기"
205,병용금기,단일,D000196,니솔디핀,,단일,D000762,이트라코나졸,,nisoldipine의 혈중농도 상승
206,병용금기,단일,D000196,니솔디핀,,단일,D000769,케토코나졸,,nisoldipine의 혈중농도 상승
207,병용금기,단일,D000755,옥트레오티드,,단일,D000541,브로모크립틴,,bromocriptine mesylate 혈중농도 상승
208,병용금기,단일,D000261,옥사토마이드,,단일,D000656,아트로핀,,항콜린 작용 증가
209,병용금기,단일,D000513,펜타미딘,,단일,D000030,아미설프리드,,심실성 부정맥(특히 torsades de pointes) 위험 증가
210,병용금기,단일,D000514,프로카테롤,,단일,D000560,에피네프린,,부정맥 또는 심정지 유도
211,병용금기,단일,D000448,슈도에페드린,,단일,D000429,모클로베미드,,"고혈압, 빈맥 유발"
212,병용금기,단일,D000448,슈도에페드린,,단일,D000139,셀레길린염산염,,"고혈압, 빈맥 유발"
213,병용금기,단일,D000314,리팜피신,,단일,D000164,이스라디핀,,isradipine의 혈장농도 저하
214,병용금기,단일,D000314,리팜피신,,단일,D000197,니페디핀,,nifedipine의 혈장농도 저하
215,병용금기,단일,D000314,리팜피신,,단일,D000196,니솔디핀,,nisoldipine의 작용 약화
216,병용금기,단일,D000628,록시트로마이신,,단일,D000213,피모지드,,심실부정맥(Torsades de pointes 포함)등의 심혈관계 이상반응
217,병용금기,단일,D000139,셀레길린염산염,,단일,D000018,부프로피온염산염,,bupropion의 급성독성 증가
218,병용금기,단일,D000139,셀레길린염산염,,단일,D000242,시클로벤자프린,,"고혈압, 저혈압, 발한을 동반한 심각한 중추신경계 이상반응(현기, 진전, 발작등)"
219,병용금기,단일,D000139,셀레길린염산염,,단일,D000200,덱스트로메토르판,,"경련, 반사항진, 이상고열, 혼수 등"
220,병용금기,단일,D000139,셀레길린염산염,,단일,D000006,모르핀,,"경련, 반사항진, 이상고열, 혼수 등"
221,병용금기,단일,D000139,셀레길린염산염,,단일,D000650,수마트립탄,,"동맥 고혈압, 관상동맥 수축"
